airline,origin,departure,stops,arrival,destination,class,duration,days_remain,price
Vistara,Mumbai,Afternoon,two_or_more,Night,Chennai,Economy,10.6,49,89.1
Indigo,Bangalore,Evening,zero,Evening,Delhi,Economy,2.8,1,85.5
AirAsia,Chennai,Night,one,Morning,Hyderabad,Economy,10.8,29,17.7
Vistara,Hyderabad,Afternoon,one,Evening,Delhi,Economy,5.2,10,137.2
GO_FIRST,Bangalore,Evening,one,Night,Delhi,Economy,4.7,22,85.4
Air_India,Kolkata,Morning,one,Evening,Bangalore,Economy,8.8,17,79.2
Vistara,Hyderabad,Night,one,Evening,Delhi,Economy,19.3,40,67.3
Vistara,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.6,16,38.1
GO_FIRST,Kolkata,Evening,one,Late_Night,Mumbai,Economy,9.6,32,71.6
AirAsia,Chennai,Night,one,Morning,Hyderabad,Economy,10.2,49,17.7
Vistara,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.4,33,45.7
Air_India,Hyderabad,Evening,one,Night,Delhi,Economy,4.8,37,61.8
AirAsia,Delhi,Morning,one,Late_Night,Mumbai,Economy,15.0,42,27.5
Vistara,Mumbai,Early_Morning,one,Evening,Chennai,Economy,9.8,17,117.2
SpiceJet,Bangalore,Morning,one,Night,Kolkata,Economy,10.8,25,55.0
Air_India,Delhi,Morning,zero,Morning,Hyderabad,Business,2.3,22,273.4
Air_India,Mumbai,Morning,one,Evening,Hyderabad,Economy,9.3,18,52.5
GO_FIRST,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,11.5,31,70.6
GO_FIRST,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,8.6,35,40.7
Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Business,15.2,33,789.9
AirAsia,Bangalore,Evening,zero,Night,Delhi,Economy,2.8,42,51.4
Vistara,Mumbai,Afternoon,one,Night,Delhi,Business,6.4,23,607.0
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.8,29,37.6
AirAsia,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,3.7,47,23.7
Air_India,Bangalore,Early_Morning,one,Evening,Mumbai,Business,10.9,17,452.5
AirAsia,Bangalore,Late_Night,one,Early_Morning,Mumbai,Economy,6.1,47,25.2
Vistara,Delhi,Night,one,Evening,Kolkata,Economy,20.2,23,90.3
Vistara,Hyderabad,Night,one,Night,Mumbai,Business,23.5,23,691.5
Indigo,Kolkata,Early_Morning,one,Morning,Hyderabad,Economy,6.4,32,38.8
Vistara,Mumbai,Evening,zero,Night,Hyderabad,Economy,1.6,47,39.4
Air_India,Kolkata,Morning,one,Evening,Delhi,Economy,8.8,20,58.2
Vistara,Bangalore,Early_Morning,one,Evening,Chennai,Business,9.3,6,689.7
Air_India,Bangalore,Morning,two_or_more,Evening,Kolkata,Economy,8.8,9,174.3
Air_India,Hyderabad,Morning,one,Morning,Mumbai,Business,23.0,32,370.2
Air_India,Hyderabad,Early_Morning,one,Morning,Mumbai,Economy,27.7,34,54.6
AirAsia,Delhi,Morning,one,Night,Bangalore,Economy,11.6,40,35.3
Indigo,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,5.0,4,104.4
Vistara,Mumbai,Early_Morning,one,Night,Delhi,Business,16.5,35,471.3
Vistara,Hyderabad,Morning,one,Late_Night,Delhi,Business,15.7,8,592.4
GO_FIRST,Delhi,Evening,one,Late_Night,Hyderabad,Economy,5.4,17,64.6
Air_India,Bangalore,Early_Morning,one,Evening,Chennai,Economy,12.8,42,73.6
GO_FIRST,Hyderabad,Night,one,Morning,Mumbai,Economy,11.8,22,47.6
Air_India,Delhi,Early_Morning,one,Night,Hyderabad,Business,14.4,2,618.1
SpiceJet,Mumbai,Afternoon,one,Evening,Kolkata,Economy,27.9,2,88.3
Vistara,Hyderabad,Morning,one,Evening,Kolkata,Economy,9.6,38,110.9
Vistara,Hyderabad,Night,one,Night,Bangalore,Business,24.0,46,647.5
Air_India,Delhi,Early_Morning,one,Night,Bangalore,Economy,16.0,27,100.3
Vistara,Bangalore,Night,one,Morning,Chennai,Economy,12.8,28,70.4
Air_India,Kolkata,Morning,one,Evening,Hyderabad,Economy,8.9,17,75.2
Vistara,Hyderabad,Evening,one,Morning,Mumbai,Business,16.1,40,691.5
Vistara,Hyderabad,Morning,two_or_more,Night,Bangalore,Economy,12.3,28,73.8
Indigo,Mumbai,Afternoon,one,Night,Kolkata,Economy,4.4,27,54.5
Vistara,Kolkata,Morning,one,Night,Mumbai,Economy,9.8,47,76.6
Vistara,Delhi,Morning,one,Night,Hyderabad,Economy,9.2,15,65.9
Air_India,Mumbai,Night,one,Evening,Bangalore,Economy,18.8,44,74.3
Vistara,Mumbai,Morning,one,Night,Hyderabad,Economy,11.8,42,38.1
Vistara,Kolkata,Night,one,Evening,Delhi,Business,20.3,18,754.4
Vistara,Delhi,Evening,one,Evening,Bangalore,Business,25.1,14,514.3
Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,5.6,20,41.9
Indigo,Chennai,Morning,one,Afternoon,Delhi,Economy,4.9,11,97.3
Indigo,Kolkata,Afternoon,one,Night,Delhi,Economy,6.2,43,50.7
Indigo,Kolkata,Morning,one,Evening,Mumbai,Economy,7.3,45,38.6
Indigo,Mumbai,Evening,one,Night,Kolkata,Economy,6.1,48,45.5
Indigo,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,8.3,1,179.5
Vistara,Delhi,Night,one,Evening,Kolkata,Business,19.0,11,748.3
Indigo,Bangalore,Morning,one,Evening,Kolkata,Economy,6.2,20,59.1
AirAsia,Chennai,Night,one,Morning,Kolkata,Economy,11.0,38,27.0
AirAsia,Chennai,Evening,one,Morning,Delhi,Economy,17.8,46,28.3
Air_India,Mumbai,Night,one,Night,Hyderabad,Economy,26.1,16,52.5
Air_India,Mumbai,Morning,one,Afternoon,Hyderabad,Economy,24.4,4,121.8
Vistara,Mumbai,Evening,one,Night,Bangalore,Business,26.9,2,1035.2
Vistara,Delhi,Morning,one,Night,Chennai,Economy,14.2,14,131.6
Air_India,Delhi,Night,one,Night,Hyderabad,Business,25.0,29,541.4
Vistara,Mumbai,Afternoon,one,Evening,Kolkata,Economy,5.7,18,67.9
Vistara,Hyderabad,Night,one,Morning,Chennai,Business,13.3,22,590.5
GO_FIRST,Chennai,Afternoon,one,Night,Delhi,Economy,9.8,36,55.1
GO_FIRST,Delhi,Afternoon,one,Evening,Bangalore,Economy,6.2,35,45.9
Vistara,Chennai,Evening,one,Evening,Hyderabad,Business,26.8,32,587.6
Indigo,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,8.8,13,68.0
AirAsia,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,12.9,49,38.7
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0,47,27.5
GO_FIRST,Mumbai,Evening,one,Early_Morning,Kolkata,Economy,12.8,45,66.4
Vistara,Bangalore,Evening,one,Evening,Kolkata,Business,24.0,28,591.8
Indigo,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,4.2,18,59.1
Vistara,Kolkata,Morning,one,Late_Night,Delhi,Business,14.5,9,713.5
Indigo,Bangalore,Early_Morning,one,Morning,Kolkata,Economy,4.1,38,39.4
Air_India,Delhi,Early_Morning,one,Morning,Kolkata,Business,5.1,46,319.5
Vistara,Chennai,Afternoon,one,Night,Delhi,Business,9.1,32,874.9
Air_India,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.2,24,52.0
Vistara,Bangalore,Morning,one,Night,Hyderabad,Economy,11.4,22,70.0
Vistara,Chennai,Early_Morning,one,Evening,Delhi,Economy,11.1,26,59.5
Vistara,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,11.0,11,523.1
Air_India,Bangalore,Afternoon,one,Early_Morning,Chennai,Economy,16.8,18,63.3
Vistara,Bangalore,Morning,one,Night,Mumbai,Business,10.5,19,854.7
Indigo,Delhi,Morning,one,Afternoon,Chennai,Economy,6.7,19,67.6
GO_FIRST,Bangalore,Evening,zero,Night,Mumbai,Economy,1.7,44,25.1
Vistara,Bangalore,Morning,one,Night,Mumbai,Economy,12.3,28,75.0
Vistara,Kolkata,Afternoon,one,Afternoon,Hyderabad,Economy,21.2,27,69.4
Air_India,Hyderabad,Evening,one,Morning,Mumbai,Business,17.9,26,524.0
Air_India,Bangalore,Morning,one,Morning,Chennai,Economy,22.5,18,68.8
Vistara,Delhi,Night,one,Morning,Bangalore,Economy,12.2,10,130.4
Vistara,Delhi,Afternoon,one,Early_Morning,Hyderabad,Business,19.0,46,590.4
Indigo,Chennai,Evening,one,Night,Hyderabad,Economy,5.0,33,37.5
Air_India,Kolkata,Evening,one,Morning,Delhi,Economy,14.7,16,92.5
Vistara,Hyderabad,Morning,one,Night,Mumbai,Economy,9.1,15,170.9
Air_India,Chennai,Morning,one,Evening,Mumbai,Business,8.1,12,565.9
Vistara,Mumbai,Night,one,Night,Chennai,Business,23.3,9,707.3
Air_India,Chennai,Evening,one,Evening,Mumbai,Business,27.0,6,897.0
Vistara,Hyderabad,Morning,one,Night,Bangalore,Economy,14.3,5,90.5
Vistara,Bangalore,Evening,one,Night,Hyderabad,Business,25.0,33,433.8
Indigo,Kolkata,Night,one,Morning,Chennai,Economy,8.5,45,34.4
Indigo,Hyderabad,Early_Morning,one,Morning,Bangalore,Economy,5.4,16,31.3
Air_India,Bangalore,Morning,one,Evening,Mumbai,Economy,7.6,42,70.3
GO_FIRST,Hyderabad,Afternoon,one,Night,Bangalore,Economy,5.9,38,71.4
Vistara,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,7.2,18,69.9
Vistara,Delhi,Evening,zero,Evening,Kolkata,Economy,2.1,5,76.4
Air_India,Mumbai,Morning,one,Evening,Chennai,Economy,5.8,31,54.3
Air_India,Chennai,Early_Morning,one,Night,Hyderabad,Economy,14.4,6,182.3
Air_India,Mumbai,Night,one,Night,Hyderabad,Economy,24.1,39,50.8
Indigo,Bangalore,Morning,one,Afternoon,Mumbai,Economy,4.2,16,60.9
Vistara,Chennai,Evening,zero,Evening,Delhi,Business,2.8,11,317.4
Vistara,Hyderabad,Night,one,Morning,Bangalore,Business,12.1,22,647.5
Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Business,16.2,19,713.2
Air_India,Bangalore,Afternoon,two_or_more,Evening,Hyderabad,Economy,30.5,9,170.6
Vistara,Bangalore,Evening,one,Morning,Delhi,Business,13.8,36,742.7
GO_FIRST,Mumbai,Morning,one,Evening,Delhi,Economy,9.3,12,67.9
SpiceJet,Hyderabad,Evening,one,Late_Night,Kolkata,Economy,8.3,15,60.4
Air_India,Hyderabad,Morning,one,Night,Mumbai,Economy,11.8,46,49.8
AirAsia,Kolkata,Early_Morning,zero,Morning,Chennai,Economy,2.3,47,33.9
Indigo,Bangalore,Evening,one,Late_Night,Delhi,Economy,8.8,35,53.7
Vistara,Hyderabad,Morning,one,Morning,Bangalore,Business,26.2,31,435.1
SpiceJet,Mumbai,Evening,one,Morning,Delhi,Economy,14.8,35,40.1
Vistara,Delhi,Night,one,Early_Morning,Bangalore,Economy,11.2,34,48.8
Vistara,Delhi,Morning,one,Night,Bangalore,Economy,12.1,10,123.2
AirAsia,Bangalore,Late_Night,zero,Late_Night,Delhi,Economy,2.8,48,51.4
Indigo,Chennai,Evening,zero,Night,Kolkata,Economy,2.2,23,53.2
Indigo,Chennai,Afternoon,one,Night,Delhi,Economy,5.1,24,44.0
Indigo,Delhi,Night,zero,Night,Chennai,Economy,2.8,4,84.8
Vistara,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Business,5.4,22,595.8
Vistara,Bangalore,Night,zero,Night,Mumbai,Economy,1.8,39,24.6
Vistara,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.1,16,567.9
AirAsia,Bangalore,Early_Morning,one,Afternoon,Kolkata,Economy,5.3,10,128.0
AirAsia,Hyderabad,Afternoon,one,Late_Night,Kolkata,Economy,11.2,42,23.5
Air_India,Hyderabad,Evening,one,Morning,Mumbai,Business,17.9,42,524.0
Air_India,Chennai,Early_Morning,one,Night,Hyderabad,Business,17.4,32,586.4
Vistara,Mumbai,Night,one,Morning,Kolkata,Economy,9.8,26,67.9
Indigo,Mumbai,Evening,one,Night,Kolkata,Economy,6.3,19,75.5
Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Business,16.2,46,713.2
Air_India,Hyderabad,Early_Morning,zero,Morning,Delhi,Economy,2.5,40,26.0
Indigo,Delhi,Morning,one,Night,Chennai,Economy,9.1,33,38.7
Vistara,Chennai,Early_Morning,one,Night,Mumbai,Economy,14.3,32,57.5
Indigo,Mumbai,Evening,zero,Night,Delhi,Economy,1.8,12,67.9
Air_India,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.6,7,86.6
Vistara,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.8,29,765.2
Vistara,Chennai,Early_Morning,one,Night,Hyderabad,Business,15.8,47,587.6
Indigo,Delhi,Early_Morning,one,Morning,Mumbai,Economy,6.6,22,41.2
Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Business,13.9,29,713.2
Indigo,Mumbai,Morning,one,Evening,Delhi,Economy,7.8,19,54.9
Vistara,Chennai,Night,one,Evening,Bangalore,Economy,21.2,34,54.3
Air_India,Delhi,Afternoon,one,Night,Kolkata,Economy,9.2,22,72.1
Vistara,Chennai,Afternoon,one,Early_Morning,Hyderabad,Economy,19.3,44,62.6
Indigo,Hyderabad,Afternoon,zero,Afternoon,Chennai,Economy,1.5,27,20.4
GO_FIRST,Delhi,Morning,one,Night,Hyderabad,Economy,14.7,31,73.8
Vistara,Mumbai,Evening,one,Night,Chennai,Economy,24.5,41,61.1
Vistara,Delhi,Evening,one,Morning,Kolkata,Economy,13.8,32,77.9
Vistara,Delhi,Afternoon,one,Evening,Chennai,Business,7.1,45,662.3
Indigo,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,6.1,16,60.4
Vistara,Kolkata,Night,one,Evening,Chennai,Economy,23.3,37,80.2
GO_FIRST,Delhi,Morning,one,Night,Mumbai,Economy,11.3,27,58.1
Indigo,Kolkata,Afternoon,one,Evening,Hyderabad,Economy,4.5,37,51.4
Vistara,Chennai,Evening,one,Night,Mumbai,Economy,6.7,19,119.8
Indigo,Mumbai,Evening,one,Night,Kolkata,Economy,6.6,8,112.8
Vistara,Chennai,Morning,two_or_more,Night,Bangalore,Economy,10.2,30,73.5
Indigo,Kolkata,Afternoon,one,Night,Mumbai,Economy,7.3,25,90.9
Vistara,Chennai,Evening,one,Morning,Mumbai,Economy,16.3,49,54.4
Vistara,Kolkata,Night,one,Morning,Bangalore,Economy,15.4,10,135.4
Vistara,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.2,8,67.9
Vistara,Chennai,Morning,one,Night,Delhi,Economy,13.2,9,148.7
Indigo,Kolkata,Morning,one,Evening,Delhi,Economy,7.4,25,74.1
Air_India,Mumbai,Night,one,Evening,Delhi,Economy,19.8,17,132.5
Indigo,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.9,24,51.4
Indigo,Delhi,Afternoon,one,Night,Kolkata,Economy,5.3,16,68.0
Indigo,Hyderabad,Morning,one,Afternoon,Kolkata,Economy,5.4,20,60.4
Vistara,Kolkata,Afternoon,one,Evening,Hyderabad,Economy,28.6,43,65.8
Indigo,Kolkata,Morning,one,Afternoon,Chennai,Economy,6.7,29,60.3
Air_India,Chennai,Early_Morning,one,Night,Mumbai,Business,15.4,29,565.9
Air_India,Kolkata,Night,one,Afternoon,Delhi,Economy,16.7,12,170.0
Indigo,Chennai,Afternoon,one,Evening,Hyderabad,Economy,4.8,18,32.7
Air_India,Mumbai,Evening,one,Evening,Kolkata,Economy,24.8,33,63.9
Vistara,Mumbai,Evening,one,Morning,Chennai,Economy,15.4,26,45.7
Vistara,Hyderabad,Afternoon,one,Evening,Bangalore,Business,6.3,16,435.1
Vistara,Chennai,Morning,two_or_more,Morning,Hyderabad,Economy,23.3,42,68.7
Air_India,Hyderabad,Morning,one,Late_Night,Bangalore,Economy,12.8,13,164.8
AirAsia,Bangalore,Early_Morning,one,Night,Mumbai,Economy,16.1,13,84.2
Vistara,Delhi,Evening,one,Night,Chennai,Economy,6.3,8,131.6
Vistara,Hyderabad,Morning,two_or_more,Night,Bangalore,Economy,10.1,35,77.4
Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Business,16.4,47,624.5
Vistara,Kolkata,Night,one,Early_Morning,Hyderabad,Business,11.2,14,561.9
Vistara,Kolkata,Morning,two_or_more,Afternoon,Hyderabad,Economy,25.8,38,89.5
AirAsia,Delhi,Afternoon,one,Evening,Hyderabad,Economy,6.7,26,23.4
Vistara,Hyderabad,Night,one,Morning,Chennai,Business,11.2,41,471.8
Vistara,Chennai,Morning,one,Night,Delhi,Business,13.2,29,661.4
Vistara,Bangalore,Early_Morning,one,Evening,Kolkata,Business,10.1,42,691.0
Vistara,Chennai,Night,one,Evening,Hyderabad,Business,19.9,7,919.8
Vistara,Kolkata,Morning,one,Late_Night,Delhi,Business,14.5,11,704.6
Vistara,Mumbai,Night,one,Afternoon,Hyderabad,Business,14.7,14,663.8
Air_India,Delhi,Afternoon,one,Night,Hyderabad,Economy,5.7,45,48.1
Air_India,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.7,39,103.7
Vistara,Chennai,Early_Morning,one,Night,Hyderabad,Business,15.8,48,587.6
Air_India,Mumbai,Night,one,Evening,Hyderabad,Business,21.8,41,521.8
Vistara,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,15.8,43,39.6
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.8,42,71.9
Indigo,Mumbai,Afternoon,one,Evening,Chennai,Economy,7.0,47,21.6
Indigo,Kolkata,Early_Morning,one,Afternoon,Hyderabad,Economy,7.7,23,85.3
Air_India,Hyderabad,Evening,two_or_more,Morning,Mumbai,Economy,17.1,32,85.6
Vistara,Bangalore,Morning,one,Evening,Kolkata,Business,6.6,16,691.0
GO_FIRST,Mumbai,Night,one,Morning,Hyderabad,Economy,10.8,26,44.7
Air_India,Mumbai,Night,one,Night,Bangalore,Business,23.9,15,639.3
Air_India,Mumbai,Night,one,Morning,Bangalore,Business,11.4,24,623.6
Air_India,Delhi,Morning,one,Night,Hyderabad,Economy,10.9,42,48.1
AirAsia,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.1,48,31.1
Vistara,Hyderabad,Night,one,Evening,Bangalore,Economy,20.4,31,73.8
GO_FIRST,Delhi,Early_Morning,one,Night,Kolkata,Economy,15.6,26,68.0
GO_FIRST,Mumbai,Evening,one,Night,Delhi,Economy,5.2,38,70.7
Vistara,Kolkata,Morning,one,Night,Delhi,Business,12.6,49,754.4
Air_India,Kolkata,Early_Morning,one,Night,Bangalore,Business,13.1,35,696.4
AirAsia,Mumbai,Night,one,Morning,Hyderabad,Economy,11.4,47,24.0
Vistara,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,7.8,46,485.6
Air_India,Mumbai,Night,one,Night,Hyderabad,Economy,24.3,35,65.4
Vistara,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.8,23,823.7
Air_India,Mumbai,Night,one,Night,Bangalore,Economy,24.9,5,165.6
Air_India,Hyderabad,Morning,one,Morning,Chennai,Business,21.6,16,589.2
Vistara,Bangalore,Evening,one,Morning,Kolkata,Business,13.8,14,591.8
Vistara,Bangalore,Morning,one,Evening,Delhi,Economy,10.2,27,54.8
GO_FIRST,Mumbai,Night,one,Morning,Bangalore,Economy,11.7,23,58.3
Vistara,Hyderabad,Early_Morning,one,Night,Bangalore,Business,15.8,19,647.5
Vistara,Delhi,Early_Morning,one,Morning,Hyderabad,Economy,27.2,26,65.8
Vistara,Chennai,Afternoon,one,Late_Night,Delhi,Business,12.4,41,520.8
Air_India,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,7.5,32,56.8
GO_FIRST,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.9,11,58.3
Vistara,Mumbai,Morning,one,Evening,Delhi,Economy,5.2,30,54.5
Air_India,Bangalore,Evening,one,Night,Hyderabad,Business,26.4,4,433.1
AirAsia,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.2,25,17.6
SpiceJet,Mumbai,Morning,one,Morning,Kolkata,Economy,22.8,40,66.4
Vistara,Hyderabad,Early_Morning,one,Night,Chennai,Business,15.9,25,590.5
Vistara,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,4.8,18,70.5
Vistara,Hyderabad,Morning,one,Night,Chennai,Economy,11.8,8,207.9
GO_FIRST,Mumbai,Morning,one,Evening,Delhi,Economy,8.0,20,63.6
Air_India,Kolkata,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.2,8,133.5
Vistara,Chennai,Afternoon,one,Morning,Kolkata,Economy,21.2,17,83.9
Indigo,Mumbai,Morning,one,Evening,Chennai,Economy,5.1,2,141.0
Vistara,Kolkata,Night,one,Evening,Chennai,Economy,23.5,11,182.6
AirAsia,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.6,49,27.5
Indigo,Hyderabad,Night,zero,Night,Kolkata,Economy,2.1,9,89.2
Vistara,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.2,25,274.7
GO_FIRST,Chennai,Afternoon,one,Night,Kolkata,Economy,9.8,15,145.9
Indigo,Bangalore,Afternoon,one,Night,Mumbai,Economy,7.3,30,52.0
Vistara,Delhi,Afternoon,one,Night,Bangalore,Business,8.5,37,484.9
GO_FIRST,Chennai,Evening,zero,Evening,Hyderabad,Economy,1.2,15,48.0
Air_India,Bangalore,Night,one,Evening,Hyderabad,Business,22.3,22,645.0
Vistara,Kolkata,Morning,two_or_more,Night,Bangalore,Economy,10.2,43,92.6
Vistara,Delhi,Morning,one,Evening,Chennai,Economy,8.2,5,131.6
Vistara,Delhi,Night,one,Morning,Chennai,Economy,14.2,49,58.2
Vistara,Chennai,Night,one,Morning,Bangalore,Business,11.6,34,688.2
Air_India,Bangalore,Night,one,Evening,Mumbai,Economy,21.0,17,70.3
Vistara,Bangalore,Morning,one,Evening,Kolkata,Business,8.3,11,591.8
Indigo,Kolkata,Morning,one,Evening,Hyderabad,Economy,7.3,46,38.8
Air_India,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.8,36,50.6
Air_India,Mumbai,Afternoon,one,Morning,Bangalore,Economy,16.9,24,69.5
Indigo,Hyderabad,Morning,one,Evening,Chennai,Economy,8.3,12,50.9
Vistara,Mumbai,Early_Morning,one,Night,Kolkata,Business,16.2,9,657.4
Vistara,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.5,11,185.4
Air_India,Mumbai,Afternoon,one,Night,Kolkata,Business,6.9,45,567.9
Air_India,Kolkata,Night,one,Morning,Hyderabad,Economy,15.4,18,53.9
SpiceJet,Kolkata,Evening,one,Morning,Mumbai,Economy,15.6,48,67.8
Vistara,Mumbai,Morning,one,Evening,Delhi,Economy,5.7,23,167.4
Air_India,Bangalore,Early_Morning,one,Night,Delhi,Economy,15.0,20,71.3
Vistara,Hyderabad,Afternoon,one,Night,Chennai,Business,9.7,25,883.4
Air_India,Delhi,Early_Morning,one,Morning,Kolkata,Economy,29.2,4,275.9
Vistara,Kolkata,Afternoon,one,Night,Mumbai,Business,6.7,41,1110.0
Vistara,Mumbai,Night,one,Morning,Bangalore,Business,13.9,22,764.3
Indigo,Mumbai,Evening,one,Late_Night,Delhi,Economy,5.1,42,26.7
Indigo,Kolkata,Early_Morning,one,Afternoon,Chennai,Economy,8.2,38,43.1
GO_FIRST,Delhi,Afternoon,one,Night,Kolkata,Economy,8.1,24,68.0
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,7.2,22,68.0
Air_India,Kolkata,Night,zero,Late_Night,Bangalore,Business,2.6,14,290.9
SpiceJet,Bangalore,Night,zero,Late_Night,Delhi,Economy,2.7,18,54.3
Indigo,Hyderabad,Early_Morning,two_or_more,Night,Chennai,Economy,15.4,17,117.7
Vistara,Delhi,Morning,one,Night,Chennai,Economy,11.4,7,131.6
Vistara,Mumbai,Evening,one,Morning,Bangalore,Economy,15.1,20,81.5
Vistara,Mumbai,Morning,one,Afternoon,Delhi,Economy,4.9,42,59.7
AirAsia,Kolkata,Night,zero,Late_Night,Delhi,Economy,2.5,17,45.7
Air_India,Kolkata,Afternoon,one,Morning,Mumbai,Business,20.7,25,574.1
AirAsia,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,14.2,6,144.9
Vistara,Bangalore,Night,one,Evening,Hyderabad,Business,22.7,48,646.2
Vistara,Mumbai,Afternoon,two_or_more,Evening,Hyderabad,Business,7.7,3,780.6
Air_India,Chennai,Early_Morning,one,Night,Delhi,Economy,14.6,41,73.8
Vistara,Mumbai,Afternoon,one,Night,Bangalore,Economy,6.9,24,73.7
Vistara,Chennai,Afternoon,one,Night,Bangalore,Economy,8.4,18,54.3
Vistara,Mumbai,Afternoon,one,Night,Chennai,Economy,7.8,33,49.7
Vistara,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,8.2,19,53.2
Air_India,Chennai,Night,zero,Night,Delhi,Business,2.8,30,317.4
GO_FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,6.8,13,68.0
Indigo,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.2,12,143.0
SpiceJet,Hyderabad,Night,zero,Night,Delhi,Economy,2.1,20,32.9
Indigo,Mumbai,Morning,one,Afternoon,Chennai,Economy,6.0,33,21.6
Vistara,Bangalore,Evening,one,Morning,Mumbai,Business,14.9,12,790.8
Vistara,Delhi,Night,one,Morning,Bangalore,Economy,12.2,24,38.3
Vistara,Mumbai,Evening,one,Night,Hyderabad,Economy,5.3,19,53.2
Indigo,Delhi,Afternoon,one,Night,Hyderabad,Economy,7.6,32,24.0
Vistara,Chennai,Night,one,Afternoon,Mumbai,Business,15.5,14,848.6
Vistara,Kolkata,Night,one,Evening,Hyderabad,Economy,23.5,48,65.8
Vistara,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,8.2,41,607.0
Indigo,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.8,3,114.8
AirAsia,Bangalore,Night,one,Early_Morning,Kolkata,Economy,8.8,19,38.7
Vistara,Chennai,Morning,one,Morning,Kolkata,Business,23.9,48,626.9
Air_India,Delhi,Night,one,Morning,Bangalore,Business,13.3,24,405.3
AirAsia,Bangalore,Evening,zero,Night,Delhi,Economy,2.8,11,85.5
Vistara,Hyderabad,Morning,one,Morning,Kolkata,Business,25.2,43,557.9
Air_India,Hyderabad,Morning,one,Early_Morning,Chennai,Economy,20.0,22,74.9
Air_India,Kolkata,Evening,one,Morning,Chennai,Economy,17.7,28,66.4
Vistara,Hyderabad,Morning,two_or_more,Night,Bangalore,Economy,13.0,20,73.8
Vistara,Mumbai,Morning,one,Evening,Hyderabad,Business,8.2,36,689.4
Indigo,Delhi,Night,zero,Night,Mumbai,Economy,2.2,25,34.3
Air_India,Kolkata,Night,one,Afternoon,Delhi,Business,13.8,17,661.7
Indigo,Bangalore,Evening,one,Late_Night,Delhi,Economy,8.8,35,46.4
Indigo,Delhi,Afternoon,one,Night,Chennai,Economy,7.2,32,23.4
Air_India,Mumbai,Morning,one,Morning,Kolkata,Economy,23.2,21,101.4
Air_India,Bangalore,Morning,one,Night,Mumbai,Economy,11.8,31,75.1
Vistara,Kolkata,Night,one,Evening,Delhi,Business,23.2,13,794.1
Indigo,Delhi,Night,one,Early_Morning,Bangalore,Economy,7.9,45,45.8
Vistara,Bangalore,Evening,one,Morning,Kolkata,Economy,14.8,7,181.5
GO_FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,6.8,42,69.0
